kaduma	verb	kui keegi või miski <b>kaob</b>, siis seda ei ole näha ja on raske üles leida	teadmata paika sattuma või minema, nii et on raske või võimatu üles leida	exact
kaduma	verb	kui keegi või miski <b>kaob</b>, siis seda ei ole näha ja on raske üles leida	(vähehaaval) olemast lakkama, otsa saama	none
kaduma	verb	kui näiteks huvi, probleem või lootus <b>kaob</b>, siis seda enam ei ole	teadmata paika sattuma või minema, nii et on raske või võimatu üles leida	none
kaduma	verb	kui näiteks huvi, probleem või lootus <b>kaob</b>, siis seda enam ei ole	(vähehaaval) olemast lakkama, otsa saama	exact
kahju	noun	majanduslik kaotus	majanduslik kaotus, varanduse vähenemine või hävimine	exact
kahju	noun	majanduslik kaotus	häda tekitav, kahjustav nähtus või olukord, miski halb	none
kahju	noun	majanduslik kaotus	rahulolematus, nukker meel millegi pärast (viisakusväljendites tähendus vahel nõrgenenud)	none
kahju	noun	miski halb	majanduslik kaotus, varanduse vähenemine või hävimine	none
kahju	noun	miski halb	häda tekitav, kahjustav nähtus või olukord, miski halb	exact
kahju	noun	miski halb	rahulolematus, nukker meel millegi pärast (viisakusväljendites tähendus vahel nõrgenenud)	none
kahju	noun	kurb meel millegi pärast	majanduslik kaotus, varanduse vähenemine või hävimine	none
kahju	noun	kurb meel millegi pärast	häda tekitav, kahjustav nähtus või olukord, miski halb	none
kahju	noun	kurb meel millegi pärast	rahulolematus, nukker meel millegi pärast (viisakusväljendites tähendus vahel nõrgenenud)	exact
kakao	noun	teatud puu seemned või nendest valmistatud pruun pulber. Kakaod kasutatakse šokolaadi tegemisel	kakaoubadest jahvatatud pulber	exact
kakao	noun	teatud puu seemned või nendest valmistatud pruun pulber. Kakaod kasutatakse šokolaadi tegemisel	kakaopulbrist, suhkrust ja piimast valmistatud jook	none
kakao	noun	sellest pulbrist ja soojast piimast või veest segatud jook	kakaoubadest jahvatatud pulber	none
kakao	noun	sellest pulbrist ja soojast piimast või veest segatud jook	kakaopulbrist, suhkrust ja piimast valmistatud jook	exact
kallale	adverb	osutab vägivalla kasutamisele või kellelegi, keda rünnatakse	sõnade või jõuga ründama, tülikalt millegi külge	exact
kallale	adverb	osutab vägivalla kasutamisele või kellelegi, keda rünnatakse	seisundisse, kus ollakse millegagi tegevuses	none
kallale	adverb	koos sõnaga <i>asuma</i>: osutab sellele, millega keegi tegelema hakkab	sõnade või jõuga ründama, tülikalt millegi külge	none
kallale	adverb	koos sõnaga <i>asuma</i>: osutab sellele, millega keegi tegelema hakkab	seisundisse, kus ollakse millegagi tegevuses	exact
kannatus	noun	vaimne või kehaline valu, häda	füüsiline või hingeline valu, häda, piin vms	exact
kannatus	noun	vaimne või kehaline valu, häda	vastupidavus, meelekindlus kedagi või midagi taluda	none
kannatus	noun	võime midagi taluda	füüsiline või hingeline valu, häda, piin vms	none
kannatus	noun	võime midagi taluda	vastupidavus, meelekindlus kedagi või midagi taluda	exact
karp	noun	tavaliselt kaanega väike madal papist kast	väga erineva kujuga väike madalavõitu hrl kaanega varustatud papist, plekist või muust materjalist kastike (sageli on juurde arvatud ka selle sisu)	exact
kasu	noun	majanduslik tulu	millestki, millegi läbi saadav majanduslik tulu	exact
kasu	noun	majanduslik tulu	soodus või kaasaaitav tegur	none
kasu	noun	see, mis aitab, abi	millestki, millegi läbi saadav majanduslik tulu	none
kasu	noun	see, mis aitab, abi	soodus või kaasaaitav tegur	exact
katkine	adjective	selline, mis on katki või korrast ära, pole enam terve	katki või korrast ära olev, mitte terve	exact
kava	noun	plaan, mõte (midagi teha)	(algne, üldine) plaan või mõte midagi teha	exact
kava	noun	plaan, mõte (midagi teha)	kontserdi, peo vm (spordi)etenduse etteasted kindlas järjekorras	none
kava	noun	plaan, mõte (midagi teha)	brošüür, voldik vms, mis tutvustab (teatri)etendust või kontserti ja selle esinejate koosseisu	none
kava	noun	see, mis mingil üritusel kindlas järjekorras toimub	(algne, üldine) plaan või mõte midagi teha	none
kava	noun	see, mis mingil üritusel kindlas järjekorras toimub	kontserdi, peo vm (spordi)etenduse etteasted kindlas järjekorras	exact
kava	noun	see, mis mingil üritusel kindlas järjekorras toimub	brošüür, voldik vms, mis tutvustab (teatri)etendust või kontserti ja selle esinejate koosseisu	none
kava	noun	leht või lehed, kus on kirjas etenduse või kontserdi info, näiteks esinejate nimed	(algne, üldine) plaan või mõte midagi teha	none
kava	noun	leht või lehed, kus on kirjas etenduse või kontserdi info, näiteks esinejate nimed	kontserdi, peo vm (spordi)etenduse etteasted kindlas järjekorras	none
kava	noun	leht või lehed, kus on kirjas etenduse või kontserdi info, näiteks esinejate nimed	brošüür, voldik vms, mis tutvustab (teatri)etendust või kontserti ja selle esinejate koosseisu	exact
kehaline	adjective	inimese kehaga seotud	inimese kehasse puutuv	exact
kes	pronoun	sõna, mida kasutatakse küsimustes ja lausetes, et täpsustada inimese nime, ametit või midagi muud	küsiv-siduv sõna isikute, elusolendite kohta	exact
keskpäev	noun	päeva keskmine osa	päeva keskmine osa, hrl umbes kell 12	exact
kile	noun	õhuke paindlik materjal, mis on sageli läbipaistev	õhuke painduv sünteetiline materjal	exact
kinni	adverb	nii, et katab sisse- ja väljapääsu või mingit pinda	suletud seisundisse või suletud seisundis	exact
kinni	adverb	nii, et katab sisse- ja väljapääsu või mingit pinda	(asutuse kohta:) mittetöötav(aks), mittetegutsev(aks) (ajutiselt või alatiseks)	none
kinni	adverb	nii, et katab sisse- ja väljapääsu või mingit pinda	mingi tegevusega või millegagi hõivatud	none
kinni	adverb	nii, et katab sisse- ja väljapääsu või mingit pinda	haarates külge, haardesse või haardes, küljes	none
kinni	adverb	nii, et katab sisse- ja väljapääsu või mingit pinda	sellisesse olukorda või sellises olukorras, et liikumine on takistatud või seda ei toimu või kellegi vabadus on piiratud	none
kinni	adverb	asutuste kohta: nii, et ei tööta	suletud seisundisse või suletud seisundis	none
kinni	adverb	asutuste kohta: nii, et ei tööta	(asutuse kohta:) mittetöötav(aks), mittetegutsev(aks) (ajutiselt või alatiseks)	exact
kinni	adverb	asutuste kohta: nii, et ei tööta	mingi tegevusega või millegagi hõivatud	none
kinni	adverb	asutuste kohta: nii, et ei tööta	haarates külge, haardesse või haardes, küljes	none
kinni	adverb	asutuste kohta: nii, et ei tööta	sellisesse olukorda või sellises olukorras, et liikumine on takistatud või seda ei toimu või kellegi vabadus on piiratud	none
kinni	adverb	hõivatud	suletud seisundisse või suletud seisundis	none
kinni	adverb	hõivatud	(asutuse kohta:) mittetöötav(aks), mittetegutsev(aks) (ajutiselt või alatiseks)	none
kinni	adverb	hõivatud	mingi tegevusega või millegagi hõivatud	exact
kinni	adverb	hõivatud	haarates külge, haardesse või haardes, küljes	none
kinni	adverb	hõivatud	sellisesse olukorda või sellises olukorras, et liikumine on takistatud või seda ei toimu või kellegi vabadus on piiratud	none
kinni	adverb	nii, et sa hoiad midagi käes või võtad midagi kätte	suletud seisundisse või suletud seisundis	none
kinni	adverb	nii, et sa hoiad midagi käes või võtad midagi kätte	(asutuse kohta:) mittetöötav(aks), mittetegutsev(aks) (ajutiselt või alatiseks)	none
kinni	adverb	nii, et sa hoiad midagi käes või võtad midagi kätte	mingi tegevusega või millegagi hõivatud	none
kinni	adverb	nii, et sa hoiad midagi käes või võtad midagi kätte	haarates külge, haardesse või haardes, küljes	exact
kinni	adverb	nii, et sa hoiad midagi käes või võtad midagi kätte	sellisesse olukorda või sellises olukorras, et liikumine on takistatud või seda ei toimu või kellegi vabadus on piiratud	none
kinni	adverb	olukorras või olukorda, kus liikumine on takistatud või kellegi vabadus piiratud	suletud seisundisse või suletud seisundis	none
kinni	adverb	olukorras või olukorda, kus liikumine on takistatud või kellegi vabadus piiratud	(asutuse kohta:) mittetöötav(aks), mittetegutsev(aks) (ajutiselt või alatiseks)	none
kinni	adverb	olukorras või olukorda, kus liikumine on takistatud või kellegi vabadus piiratud	mingi tegevusega või millegagi hõivatud	none
kinni	adverb	olukorras või olukorda, kus liikumine on takistatud või kellegi vabadus piiratud	haarates külge, haardesse või haardes, küljes	none
kinni	adverb	olukorras või olukorda, kus liikumine on takistatud või kellegi vabadus piiratud	sellisesse olukorda või sellises olukorras, et liikumine on takistatud või seda ei toimu või kellegi vabadus on piiratud	exact
kirjalik	adjective	kirjutatud kujul olev	kirjutatud või trükitud kujul esinev, kirja pandud	exact
kitsas	adjective	väikese laiusega	(ruumi, maa-ala, pikliku asja kohta:) ristsuunas, laiuselt väikese ulatusega	exact
kitsas	adjective	väikese laiusega	ruumilt, mahutavuselt ebapiisav, hädavaevu kuhugi mahtuv või ulatuv	none
kitsas	adjective	selline, kus on liiga vähe ruumi	(ruumi, maa-ala, pikliku asja kohta:) ristsuunas, laiuselt väikese ulatusega	none
kitsas	adjective	selline, kus on liiga vähe ruumi	ruumilt, mahutavuselt ebapiisav, hädavaevu kuhugi mahtuv või ulatuv	exact
klubi	noun	rühm ühiste huvidega inimesi, kes midagi koos teevad	rühm ühise huviala, elukutse või ühiste vaadetega inimesi	exact
klubi	noun	rühm ühiste huvidega inimesi, kes midagi koos teevad	hilja õhtust hilisööni või varahommikuni töötav lõbustusasutus	none
klubi	noun	ööklubi	rühm ühise huviala, elukutse või ühiste vaadetega inimesi	none
klubi	noun	ööklubi	hilja õhtust hilisööni või varahommikuni töötav lõbustusasutus	exact
kogu	noun	hulk mingeid esemeid, mis on kogutud kindlal eesmärgil	hulk kindla eesmärgiga kogutud ning süstematiseeritud esemeid või ainestikku	exact
kogu	noun	hulk mingeid esemeid, mis on kogutud kindlal eesmärgil	iseseisvaid kirjandustooteid, mitmesuguseid ülesandeid, seadustekste vms sisaldav koondteos	none
kogu	noun	teos, mis sisaldab kirjutisi ühelt või mitmelt autorilt	hulk kindla eesmärgiga kogutud ning süstematiseeritud esemeid või ainestikku	none
kogu	noun	teos, mis sisaldab kirjutisi ühelt või mitmelt autorilt	iseseisvaid kirjandustooteid, mitmesuguseid ülesandeid, seadustekste vms sisaldav koondteos	exact
kohe	adverb	väga lühikese aja jooksul	viivitamata, lühikese ajavahemiku jooksul või möödudes	exact
kohe	adverb	väga lühikese aja jooksul	millegi või kellegi vahetus läheduses, lähedusse või lähedusest, vahetult	none
kohe	adverb	kellegi või millegi vahetus läheduses	viivitamata, lühikese ajavahemiku jooksul või möödudes	none
kohe	adverb	kellegi või millegi vahetus läheduses	millegi või kellegi vahetus läheduses, lähedusse või lähedusest, vahetult	exact
kohustuslik	adjective	selline, mida peab kindlasti tegema	tingimata, alati tarvilik või ettenähtud, rangelt, kohustusena esinev või toimiv	exact
kokkupõrge	noun	olukord, kus mingi liikuv objekt läheb hooga mingi teise liikuva objekti vastu	suure kiirusega üksteise vastu paiskumine	exact
kokkupõrge	noun	olukord, kus mingi liikuv objekt läheb hooga mingi teise liikuva objekti vastu	vastasseisust lahvatanud võitlus, lahing	none
kokkupõrge	noun	kaklus	suure kiirusega üksteise vastu paiskumine	none
kokkupõrge	noun	kaklus	vastasseisust lahvatanud võitlus, lahing	exact
kolmteist	numeral	13	põhiarv 13	exact
konto	noun	teenus, mille kaudu inimene või firma saab hoida pangas oma raha ja teha sellega toiminguid	pangakonto arvelduste vm tehingute tegemiseks (nt arvelduskonto, hoiuarve)	exact
koor	noun	kõva kiht puu tüve ja okste peal	millegi kõvem ja õhem pealmine kiht või kaitsev kest	narrower
koor	noun	kõva kiht puu tüve ja okste peal	millegi kõvem ja õhem pealmine kiht või kaitsev kest	narrower
koor	noun	kõva kiht puu tüve ja okste peal	piima seismisel selle pinnale kerkiv rasvarikas kiht	none
koor	noun	kiht puuviljade ja köögiviljade peal või pähkli ja muna ümber	millegi kõvem ja õhem pealmine kiht või kaitsev kest	narrower
koor	noun	kiht puuviljade ja köögiviljade peal või pähkli ja muna ümber	millegi kõvem ja õhem pealmine kiht või kaitsev kest	narrower
koor	noun	kiht puuviljade ja köögiviljade peal või pähkli ja muna ümber	piima seismisel selle pinnale kerkiv rasvarikas kiht	none
koor	noun	paks ja rasvane kiht, mis kerkib piima seismisel selle pinnale	millegi kõvem ja õhem pealmine kiht või kaitsev kest	none
koor	noun	paks ja rasvane kiht, mis kerkib piima seismisel selle pinnale	millegi kõvem ja õhem pealmine kiht või kaitsev kest	none
koor	noun	paks ja rasvane kiht, mis kerkib piima seismisel selle pinnale	piima seismisel selle pinnale kerkiv rasvarikas kiht	exact
kord	noun	millalgi minevikus, kunagi	mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus	narrower
kord	noun	millalgi minevikus, kunagi	mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus	narrower
kord	noun	millalgi minevikus, kunagi	mõnikord, vahel	none
kord	noun	millalgi tulevikus	mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus	narrower
kord	noun	millalgi tulevikus	mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus	narrower
kord	noun	millalgi tulevikus	mõnikord, vahel	none
kord	noun	näitab, et olukorrad vahetuvad	mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus	none
kord	noun	näitab, et olukorrad vahetuvad	mingil ebamäärasel, täpselt määratlemata ajal, millalgi minevikus või tulevikus	none
kord	noun	näitab, et olukorrad vahetuvad	mõnikord, vahel	exact
korralik	adjective	selline, kes täidab oma ülesandeid hästi ja nii, nagu vaja	mingeid nõudeid, ülesandeid täpselt järgiv, neid hästi täitev või neile hästi vastav, (ettenähtud) omadustelt või tulemuselt laitmatu	exact
korralik	adjective	selline, kes täidab oma ülesandeid hästi ja nii, nagu vaja	millegi poolest (väga) hea, kõrgelt hinnatav (nt suur, tubli, kõva)	none
korralik	adjective	hea	mingeid nõudeid, ülesandeid täpselt järgiv, neid hästi täitev või neile hästi vastav, (ettenähtud) omadustelt või tulemuselt laitmatu	none
korralik	adjective	hea	millegi poolest (väga) hea, kõrgelt hinnatav (nt suur, tubli, kõva)	exact
kosmos	noun	väljaspool Maa atmosfääri asuv ruum, kus on tähed ja planeedid	väljaspool Maad asuv maailmaruum koos selles leiduvate objektidega	exact
kriitika	noun	märkused, mis näitavad, et sa arvad, et miski on halb või vale	eeskätt vigade ja puuduste esiletoomine	exact
kriitika	noun	märkused, mis näitavad, et sa arvad, et miski on halb või vale	analüüsiv arvustamine, hindav arvamusavaldus, hinnangud või arvustused kogumina	none
kriitika	noun	teoste, näiteks raamatute või filmide kohta kirjutatud arvustused	eeskätt vigade ja puuduste esiletoomine	none
kriitika	noun	teoste, näiteks raamatute või filmide kohta kirjutatud arvustused	analüüsiv arvustamine, hindav arvamusavaldus, hinnangud või arvustused kogumina	exact
kuidagi	adverb	(just) nagu	mingil (vähesel, imelikul) moel, pisut nagu, nii et hästi aru ei saa	narrower
kuidagi	adverb	(just) nagu	mingil (juhuslikul) moel, mingil kombel või viisil	none
kuidagi	adverb	(just) nagu	mingil (juhuslikul) moel, mingil kombel või viisil	none
kuidagi	adverb	(just) nagu	mingil (vähesel, imelikul) moel, pisut nagu, nii et hästi aru ei saa	narrower
kuidagi	adverb	mingil moel või viisil	mingil (vähesel, imelikul) moel, pisut nagu, nii et hästi aru ei saa	none
kuidagi	adverb	mingil moel või viisil	mingil (juhuslikul) moel, mingil kombel või viisil	narrower
kuidagi	adverb	mingil moel või viisil	mingil (juhuslikul) moel, mingil kombel või viisil	narrower
kuidagi	adverb	mingil moel või viisil	mingil (vähesel, imelikul) moel, pisut nagu, nii et hästi aru ei saa	none
kuidagi	adverb	mitte mingil moel või viisil	mingil (vähesel, imelikul) moel, pisut nagu, nii et hästi aru ei saa	none
kuidagi	adverb	mitte mingil moel või viisil	mingil (juhuslikul) moel, mingil kombel või viisil	narrower
